time,G(i) (Globalstrahlung),H_sun (Sonnenscheindauer in min),T2m (Temperatur),WS10m (Windgeschwindigkeit)
20230114:0310,0.0,0.0,5.74,3.79
20230114:0410,0.0,0.0,6.28,3.59
20230114:0510,0.0,0.0,6.66,3.52
20230114:0610,0.0,0.0,6.59,3.79
20230114:0710,0.0,0.0,6.58,4.76
20230114:0810,15.57,4.31,6.89,5.1
20230114:0910,32.97,10.58,7.23,5.52
20230114:1010,50.37,15.08,7.84,5.66
20230114:1110,48.53,17.45,8.43,6.48
20230114:1210,39.38,17.45,8.68,6.9
20230114:1310,47.62,15.08,8.94,7.31
20230114:1410,32.97,10.57,9.24,7.24
20230114:1510,11.9,4.31,9.58,7.1
20230114:1610,0.0,0.0,10.08,7.52
20230114:1710,0.0,0.0,10.5,7.72
20230114:1810,0.0,0.0,10.83,7.45
20230114:1910,0.0,0.0,10.64,6.97
20230114:2010,0.0,0.0,10.65,6.21
20230114:2110,0.0,0.0,10.52,5.38
20230114:2210,0.0,0.0,10.46,5.31
20230114:2310,0.0,0.0,9.77,5.52
20230115:0010,0.0,0.0,8.6,5.31
20230115:0110,0.0,0.0,7.65,5.03
20230115:0210,0.0,0.0,6.9,5.1
20230115:0310,0.0,0.0,6.23,4.69
20230115:0410,0.0,0.0,5.75,4.48
20230115:0510,0.0,0.0,5.54,4.48
20230115:0610,0.0,0.0,5.35,5.03
20230115:0710,0.0,0.0,5.32,5.03
20230115:0810,35.08,4.43,5.21,5.45
20230115:0910,65.08,10.71,5.45,6.0
20230115:1010,667.27,15.23,5.91,6.21
20230115:1110,717.13,17.62,6.35,6.9
20230115:1210,607.63,17.63,6.63,7.38
20230115:1310,356.52,15.27,6.66,7.24
20230115:1410,98.79,10.77,6.42,5.93
20230115:1510,7.33,4.51,6.13,6.97
20230115:1610,0.0,0.0,5.71,6.41
20230115:1710,0.0,0.0,5.55,6.0
20230115:1810,0.0,0.0,5.34,5.66
20230115:1910,0.0,0.0,5.32,5.03
20230115:2010,0.0,0.0,5.18,4.48
20230115:2110,0.0,0.0,4.82,4.41
20230115:2210,0.0,0.0,4.77,4.48
20230115:2310,0.0,0.0,4.55,4.76
20230116:0010,0.0,0.0,4.41,4.69
20230116:0110,0.0,0.0,4.18,4.14
20230116:0210,0.0,0.0,4.08,3.59
20230116:0310,0.0,0.0,4.03,3.45
20230116:0410,0.0,0.0,4.1,3.86
20230116:0510,0.0,0.0,4.41,4.69
20230116:0610,0.0,0.0,4.34,5.38
20230116:0710,0.0,0.0,4.7,6.07
20230116:0810,43.55,4.55,4.44,6.76
20230116:0910,64.96,10.85,3.88,7.24
20230116:1010,154.09,15.39,3.7,6.76
20230116:1110,77.84,17.8,3.93,6.14
20230116:1210,92.88,17.83,4.57,5.59
20230116:1310,99.91,15.47,4.93,5.38
20230116:1410,111.31,10.98,4.97,6.28
20230116:1510,50.34,4.71,4.72,5.31
20230116:1610,0.0,0.0,4.2,4.41
20230116:1710,0.0,0.0,3.76,4.0
20230116:1810,0.0,0.0,3.44,4.0
20230116:1910,0.0,0.0,3.57,4.55
20230116:2010,0.0,0.0,3.45,6.07
20230116:2110,0.0,0.0,3.21,7.38
20230116:2210,0.0,0.0,2.99,6.83
20230116:2310,0.0,0.0,2.77,6.48
20230117:0010,0.0,0.0,2.66,6.41
20230117:0110,0.0,0.0,2.34,6.34
20230117:0210,0.0,0.0,1.89,5.79
20230117:0310,0.0,0.0,1.61,5.45
20230117:0410,0.0,0.0,1.33,4.9
20230117:0510,0.0,0.0,0.87,3.93
20230117:0610,0.0,0.0,0.32,3.03
20230117:0710,0.0,0.0,0.62,2.48
20230117:0810,94.78,4.67,0.21,2.0
20230117:0910,458.17,11.0,0.67,2.07
20230117:1010,518.43,15.56,1.37,2.0
20230117:1110,708.8,17.98,2.05,1.72
20230117:1210,377.1,18.03,2.57,1.17
20230117:1310,587.45,15.68,2.77,1.03
20230117:1410,473.19,11.18,2.87,1.24
20230117:1510,237.07,4.92,2.57,1.31
20230117:1610,0.0,0.0,1.64,1.45
20230117:1710,0.0,0.0,0.06,1.38
20230117:1810,0.0,0.0,-0.95,1.45
20230117:1910,0.0,0.0,-1.41,1.31
20230117:2010,0.0,0.0,-0.76,1.03
20230117:2110,0.0,0.0,-1.25,1.1
20230117:2210,0.0,0.0,-1.97,1.24
20230117:2310,0.0,0.0,-1.16,0.97
20230118:0010,0.0,0.0,-1.78,1.1
20230118:0110,0.0,0.0,-3.18,1.45
20230118:0210,0.0,0.0,-3.19,1.52
20230118:0310,0.0,0.0,-2.41,1.17
20230118:0410,0.0,0.0,-1.15,0.76
20230118:0510,0.0,0.0,-1.21,0.55
20230118:0610,0.0,0.0,-1.27,0.76
20230118:0710,0.0,0.0,-2.83,1.31
20230118:0810,152.61,4.81,-3.09,1.52
20230118:0910,263.96,11.15,-1.43,1.38
20230118:1010,348.29,15.74,0.48,1.86
20230118:1110,684.99,18.18,1.67,2.34
20230118:1210,743.55,18.23,2.51,2.69
20230118:1310,654.98,15.89,2.76,3.03
20230118:1410,487.92,11.4,2.66,2.69
20230118:1510,218.85,5.13,1.83,2.34
20230118:1610,0.0,0.0,0.39,2.55
20230118:1710,0.0,0.0,-0.66,2.62
20230118:1810,0.0,0.0,-1.25,2.62
20230118:1910,0.0,0.0,-1.18,2.9
20230118:2010,0.0,0.0,-1.17,2.9
20230118:2110,0.0,0.0,-1.07,2.97
20230118:2210,0.0,0.0,-0.95,3.1
20230118:2310,0.0,0.0,-0.81,3.24
20230119:0010,0.0,0.0,-0.65,3.31
20230119:0110,0.0,0.0,-0.24,3.45
20230119:0210,0.0,0.0,0.0,3.59
20230119:0310,0.0,0.0,0.26,3.72
20230119:0410,0.0,0.0,0.3,3.79
20230119:0510,0.0,0.0,0.24,3.86
20230119:0610,0.0,0.0,0.3,3.86
20230119:0710,0.0,0.0,0.26,4.28
20230119:0810,16.48,4.95,0.32,4.0
20230119:0910,68.35,11.31,0.62,3.66
20230119:1010,107.8,15.92,1.18,3.52
20230119:1110,142.72,18.38,1.85,3.59
20230119:1210,544.33,18.44,2.3,3.45
20230119:1310,365.58,16.11,2.89,4.07
20230119:1410,40.29,11.62,3.08,3.45
20230119:1510,28.57,5.34,2.67,2.62
20230119:1610,0.0,0.0,1.88,2.28
20230119:1710,0.0,0.0,0.95,2.07
20230119:1810,0.0,0.0,0.43,1.93
20230119:1910,0.0,0.0,-0.66,1.79
20230119:2010,0.0,0.0,-1.17,1.72
20230119:2110,0.0,0.0,-1.84,1.72
20230119:2210,0.0,0.0,-2.03,1.66
20230119:2310,0.0,0.0,-2.09,1.66
20230120:0010,0.0,0.0,-2.54,1.72
20230120:0110,0.0,0.0,-2.53,1.66
20230120:0210,0.0,0.0,-2.34,1.66
20230120:0310,0.0,0.0,-1.99,1.59
20230120:0410,0.0,0.0,-1.76,1.66
20230120:0510,0.0,0.0,-1.69,1.72
20230120:0610,0.0,0.0,-1.7,1.79
20230120:0710,0.0,0.0,-1.4,1.79
20230120:0810,66.33,5.1,-1.12,1.79
20230120:0910,279.61,11.48,-0.34,2.0
20230120:1010,139.25,16.1,0.48,2.48
20230120:1110,103.81,18.58,1.15,2.48
20230120:1210,94.59,18.66,1.56,2.69
20230120:1310,62.27,16.34,1.61,2.69
20230120:1410,62.28,11.84,1.33,2.28
20230120:1510,39.63,5.56,0.98,2.41
20230120:1610,0.0,0.0,0.36,2.48
20230120:1710,0.0,0.0,-0.11,2.62
20230120:1810,0.0,0.0,-0.5,2.76
20230120:1910,0.0,0.0,-0.51,2.83
20230120:2010,0.0,0.0,-1.22,2.83
20230120:2110,0.0,0.0,-1.59,2.83
20230120:2210,0.0,0.0,-1.91,2.83
20230120:2310,0.0,0.0,-2.03,2.76
20230121:0010,0.0,0.0,-2.24,2.69
20230121:0110,0.0,0.0,-2.33,2.55
20230121:0210,0.0,0.0,-2.55,2.55
20230121:0310,0.0,0.0,-2.66,2.41
20230121:0410,0.0,0.0,-2.77,2.28
20230121:0510,0.0,0.0,-2.99,2.14
20230121:0610,0.0,0.0,-3.21,1.93
20230121:0710,0.0,0.0,-3.84,2.0
20230121:0810,229.89,5.25,-3.46,2.07
20230121:0910,458.58,11.65,-2.23,2.07
20230121:1010,310.99,16.3,-0.76,3.45
20230121:1110,63.19,18.79,0.14,3.66
20230121:1210,52.2,18.89,0.76,3.79
20230121:1310,61.36,16.57,1.32,4.14
20230121:1410,46.7,12.07,1.38,3.59
20230121:1510,8.24,5.79,0.96,3.1
20230121:1610,0.0,0.0,0.09,2.83
20230121:1710,0.0,0.0,-0.34,2.97
20230121:1810,0.0,0.0,-0.66,3.1
20230121:1910,0.0,0.0,-0.69,3.17
20230121:2010,0.0,0.0,-0.67,3.17
20230121:2110,0.0,0.0,-0.48,3.31
20230121:2210,0.0,0.0,-0.39,3.59
20230121:2310,0.0,0.0,-0.35,3.72
20230122:0010,0.0,0.0,-0.3,3.79
20230122:0110,0.0,0.0,-0.36,3.86
20230122:0210,0.0,0.0,-0.43,3.93
20230122:0310,0.0,0.0,-0.51,3.93
20230122:0410,0.0,0.0,-0.53,3.79
20230122:0510,0.0,0.0,-0.57,3.72
20230122:0610,0.0,0.0,-0.52,3.72
20230122:0710,0.0,0.0,-0.52,3.31
20230122:0810,5.49,5.41,-0.44,3.1
20230122:0910,34.8,11.83,-0.23,2.83
20230122:1010,88.37,16.5,0.01,2.83
20230122:1110,79.67,19.01,0.54,3.24
20230122:1210,47.62,19.12,0.95,3.17
20230122:1310,41.21,16.8,1.38,3.31
20230122:1410,37.55,12.31,1.42,3.03
20230122:1510,20.15,6.02,1.35,2.62
20230122:1610,0.0,0.0,0.97,2.48
20230122:1710,0.0,0.0,0.78,2.48
20230122:1810,0.0,0.0,0.53,2.34
20230122:1910,0.0,0.0,0.11,2.0
20230122:2010,0.0,0.0,0.11,1.93
20230122:2110,0.0,0.0,0.09,1.79
20230122:2210,0.0,0.0,0.32,1.72
20230122:2310,0.0,0.0,0.18,1.79
20230123:0010,0.0,0.0,-0.01,1.79
20230123:0110,0.0,0.0,0.01,1.79
20230123:0210,0.0,0.0,-0.19,1.86
20230123:0310,0.0,0.0,-0.2,1.93
20230123:0410,0.0,0.0,-0.3,1.86
20230123:0510,0.0,0.0,-0.33,1.86
20230123:0610,0.0,0.0,-0.32,1.86
20230123:0710,0.0,0.0,-0.81,1.93
20230123:0810,30.42,5.58,0.03,2.0
20230123:0910,48.53,12.02,0.99,2.07
20230123:1010,48.53,16.71,1.66,3.24
20230123:1110,100.95,19.24,2.19,2.97
20230123:1210,80.59,19.35,2.46,2.62
20230123:1310,58.61,17.04,2.76,2.62
20230123:1410,54.94,12.55,2.88,2.9
20230123:1510,40.64,6.25,2.75,2.83
20230123:1610,0.0,0.0,2.41,2.69
20230123:1710,0.0,0.0,1.87,2.55
20230123:1810,0.0,0.0,1.75,2.41
20230123:1910,0.0,0.0,1.07,2.28
20230123:2010,0.0,0.0,0.49,2.14
20230123:2110,0.0,0.0,0.25,2.14
20230123:2210,0.0,0.0,0.07,2.0
20230123:2310,0.0,0.0,0.32,2.0
20230124:0010,0.0,0.0,0.14,1.86
20230124:0110,0.0,0.0,-0.15,2.07
20230124:0210,0.0,0.0,0.03,2.14
20230124:0310,0.0,0.0,-0.39,2.07
20230124:0410,0.0,0.0,-0.47,1.86
20230124:0510,0.0,0.0,-1.09,1.86
20230124:0610,0.0,0.0,-1.37,2.0
20230124:0710,0.0,0.0,-1.01,1.52
20230124:0810,48.76,5.75,-1.16,1.66
20230124:0910,65.94,12.22,0.67,1.79
20230124:1010,66.85,16.92,1.75,2.21
20230124:1110,72.34,19.47,2.63,2.0
20230124:1210,61.36,19.6,3.28,1.59
20230124:1310,65.93,17.29,3.7,1.72
20230124:1410,52.2,12.79,3.93,2.0
20230124:1510,36.17,6.49,3.66,1.72
20230124:1610,0.0,0.0,2.71,1.72
20230124:1710,0.0,0.0,0.9,1.79
20230124:1810,0.0,0.0,-0.9,1.79
20230124:1910,0.0,0.0,-1.59,1.66
20230124:2010,0.0,0.0,-2.05,1.66
20230124:2110,0.0,0.0,-1.78,1.59
20230124:2210,0.0,0.0,-2.18,1.59
20230124:2310,0.0,0.0,-2.12,1.45
20230125:0010,0.0,0.0,-1.52,1.17
20230125:0110,0.0,0.0,-2.06,1.31
20230125:0210,0.0,0.0,-1.74,1.17
20230125:0310,0.0,0.0,-1.79,1.1
20230125:0410,0.0,0.0,-1.65,1.03
20230125:0510,0.0,0.0,-1.56,0.97
20230125:0610,0.0,0.0,-1.59,0.97
20230125:0710,0.0,0.0,-1.44,1.03
20230125:0810,23.81,5.93,-1.13,1.03
20230125:0910,43.96,12.41,-0.26,0.76
20230125:1010,43.04,17.14,0.1,0.62
20230125:1110,46.7,19.71,0.48,0.41
20230125:1210,42.12,19.84,0.84,0.41
20230125:1310,43.04,17.54,1.05,0.62
20230125:1410,34.8,13.04,1.09,0.28
20230125:1510,19.23,6.73,0.94,0.21
20230125:1610,0.0,0.0,0.51,0.83
20230125:1710,0.0,0.0,-0.07,1.52
20230125:1810,0.0,0.0,-0.55,1.72
20230125:1910,0.0,0.0,-0.78,1.45
20230125:2010,0.0,0.0,-1.02,0.97
20230125:2110,0.0,0.0,-1.11,0.14
20230125:2210,0.0,0.0,-1.13,0.48
20230125:2310,0.0,0.0,-1.27,1.66
20230126:0010,0.0,0.0,-1.6,2.07
20230126:0110,0.0,0.0,-1.87,1.86
20230126:0210,0.0,0.0,-2.03,1.52
20230126:0310,0.0,0.0,-2.23,1.38
20230126:0410,0.0,0.0,-2.32,1.24
20230126:0510,0.0,0.0,-2.27,1.1
20230126:0610,0.0,0.0,-2.1,0.9
20230126:0710,0.0,0.0,-1.97,1.17
20230126:0810,43.07,6.12,-1.76,0.69
20230126:0910,63.97,12.62,-1.33,0.69
20230126:1010,42.12,17.37,-0.86,1.24
20230126:1110,59.52,19.95,-0.5,1.59
20230126:1210,85.16,20.1,-0.29,1.66
20230126:1310,77.84,17.8,0.18,2.0
20230126:1410,69.29,13.29,0.39,2.55
20230126:1510,30.22,6.97,0.68,2.41
20230126:1610,0.0,0.0,0.82,1.93
20230126:1710,0.0,0.0,1.13,1.93
20230126:1810,0.0,0.0,1.5,2.07
20230126:1910,0.0,0.0,1.78,1.86
20230126:2010,0.0,0.0,2.2,2.14
20230126:2110,0.0,0.0,2.6,2.55
20230126:2210,0.0,0.0,2.82,2.76
20230126:2310,0.0,0.0,2.77,2.83
20230127:0010,0.0,0.0,2.54,2.97
20230127:0110,0.0,0.0,2.33,2.9
20230127:0210,0.0,0.0,2.01,2.97
20230127:0310,0.0,0.0,1.65,2.9
20230127:0410,0.0,0.0,1.35,2.9
20230127:0510,0.0,0.0,1.19,2.97
20230127:0610,0.0,0.0,1.05,2.83
20230127:0710,0.0,0.0,1.73,2.97
20230127:0810,187.42,6.31,2.0,3.1
20230127:0910,412.35,12.83,2.42,3.24
20230127:1010,52.2,17.6,2.83,3.31
20230127:1110,144.07,20.2,3.38,4.21
20230127:1210,108.15,20.36,3.59,3.86
20230127:1310,156.87,18.06,4.0,4.55
20230127:1410,165.51,13.54,3.98,3.79
20230127:1510,184.05,7.22,3.78,3.72
20230127:1610,0.0,0.0,3.42,3.66
20230127:1710,0.0,0.0,3.08,3.66
20230127:1810,0.0,0.0,2.81,3.59
20230127:1910,0.0,0.0,2.62,3.1
20230127:2010,0.0,0.0,2.22,3.1
20230127:2110,0.0,0.0,1.87,3.03
20230127:2210,0.0,0.0,1.53,2.9
20230127:2310,0.0,0.0,1.38,2.69
20230128:0010,0.0,0.0,1.18,2.34
20230128:0110,0.0,0.0,0.72,2.21
20230128:0210,0.0,0.0,0.5,2.21
20230128:0310,0.0,0.0,0.29,2.28
20230128:0410,0.0,0.0,0.1,2.28
20230128:0510,0.0,0.0,-0.19,2.28
20230128:0610,0.0,0.0,-0.27,2.28
20230128:0710,0.0,0.0,-0.49,1.79
20230128:0810,20.15,6.51,-0.6,1.59
20230128:0910,68.46,13.05,-0.15,1.86
20230128:1010,57.69,17.84,0.3,2.14
20230128:1110,69.6,20.45,0.89,2.62
20230128:1210,70.51,20.62,0.87,2.55
20230128:1310,131.59,18.32,0.92,2.14
20230128:1410,479.47,13.81,0.98,1.72
20230128:1510,309.88,7.47,0.73,1.72
20230128:1610,0.0,0.0,0.29,1.79
20230128:1710,0.0,0.0,-0.38,1.86
20230128:1810,0.0,0.0,-0.5,1.79
20230128:1910,0.0,0.0,-0.82,1.38
20230128:2010,0.0,0.0,-1.75,1.31
20230128:2110,0.0,0.0,-1.79,1.1
20230128:2210,0.0,0.0,-2.15,1.17
20230128:2310,0.0,0.0,-1.68,0.97
20230129:0010,0.0,0.0,-1.8,0.97
20230129:0110,0.0,0.0,-2.46,1.17
20230129:0210,0.0,0.0,-2.64,1.17
20230129:0310,0.0,0.0,-3.05,1.24
20230129:0410,0.0,0.0,-3.28,1.38
20230129:0510,0.0,0.0,-3.17,1.17
20230129:0610,0.0,0.0,-3.19,1.31
20230129:0710,0.0,0.0,-2.69,1.24
20230129:0810,9.16,6.72,-2.28,1.52
20230129:0910,142.24,13.28,-1.25,1.66
20230129:1010,136.87,18.08,-0.3,2.07
20230129:1110,320.75,20.71,0.6,2.21
20230129:1210,97.07,20.89,1.47,2.07
20230129:1310,353.17,18.59,1.93,2.14
20230129:1410,156.85,14.07,2.26,2.28
20230129:1510,28.39,7.73,2.05,2.07
20230129:1610,0.0,0.0,1.04,2.14
20230129:1710,0.0,0.0,0.19,2.34
20230129:1810,0.0,0.0,-0.01,2.69
20230129:1910,0.0,0.0,0.03,3.03
20230129:2010,0.0,0.0,0.63,3.38
20230129:2110,0.0,0.0,1.01,3.59
20230129:2210,0.0,0.0,1.49,3.86
20230129:2310,0.0,0.0,2.09,4.14
20230130:0010,0.0,0.0,2.72,4.69
20230130:0110,0.0,0.0,3.22,4.97
20230130:0210,0.0,0.0,3.6,5.1
20230130:0310,0.0,0.0,3.89,5.59
20230130:0410,0.0,0.0,4.07,5.86
20230130:0510,0.0,0.0,4.28,6.14
20230130:0610,0.0,0.0,4.54,6.28
20230130:0710,0.0,0.0,4.71,6.07
20230130:0810,16.48,6.93,4.9,5.93
20230130:0910,523.19,13.51,5.32,6.62
20230130:1010,516.37,18.33,5.8,6.34
20230130:1110,76.92,20.98,6.32,6.97
20230130:1210,74.18,21.16,6.37,7.45
20230130:1310,236.04,18.87,6.76,6.07
20230130:1410,75.51,14.34,6.71,7.03
20230130:1510,138.25,7.99,6.24,6.28
20230130:1610,0.0,0.0,5.77,5.38
20230130:1710,0.0,0.0,5.1,4.76
20230130:1810,0.0,0.0,4.87,4.41
20230130:1910,0.0,0.0,4.2,4.62
20230130:2010,0.0,0.0,3.73,4.55
20230130:2110,0.0,0.0,3.13,4.28
20230130:2210,0.0,0.0,2.63,3.79
20230130:2310,0.0,0.0,2.12,3.38
20230131:0010,0.0,0.0,1.67,3.1
20230131:0110,0.0,0.0,1.72,3.1
20230131:0210,0.0,0.0,1.6,2.97
20230131:0310,0.0,0.0,1.88,3.03
20230131:0410,0.0,0.0,1.98,3.03
20230131:0510,0.0,0.0,1.88,3.03
20230131:0610,0.0,0.0,1.79,3.24
20230131:0710,0.0,0.0,2.11,3.66
20230131:0810,64.41,7.14,2.45,3.93
20230131:0910,70.13,13.74,3.22,4.28
20230131:1010,59.52,18.59,4.14,4.28
20230131:1110,178.25,21.25,4.74,4.83
20230131:1210,66.85,21.44,5.29,5.17
20230131:1310,43.96,19.15,6.24,6.48
20230131:1410,53.11,14.61,6.43,6.14
20230131:1510,44.39,8.25,6.06,5.59
20230131:1610,0.0,0.0,5.98,5.24
20230131:1710,0.0,0.0,6.29,5.45
20230131:1810,0.0,0.0,6.58,5.66
20230131:1910,0.0,0.0,5.85,4.76
20230131:2010,0.0,0.0,5.37,4.62
20230131:2110,0.0,0.0,5.13,4.55
20230131:2210,0.0,0.0,5.01,4.21
20230131:2310,0.0,0.0,4.68,4.07
20230201:0010,0.0,0.0,4.47,4.21
20230201:0110,0.0,0.0,4.54,4.48
20230201:0210,0.0,0.0,4.78,4.76
20230201:0310,0.0,0.0,4.64,4.9
20230201:0410,0.0,0.0,4.23,5.03
20230201:0510,0.0,0.0,3.96,5.31
20230201:0610,0.0,0.0,3.72,5.66
20230201:0710,0.0,0.0,3.46,5.66
20230201:0810,66.62,7.37,3.44,5.79
20230201:0910,264.88,13.98,3.88,5.72
20230201:1010,245.67,18.85,4.68,5.24
20230201:1110,264.23,21.53,5.63,7.38
20230201:1210,67.77,21.73,6.61,8.9
20230201:1310,42.12,19.43,6.97,7.86
20230201:1410,26.56,14.89,6.89,7.17
20230201:1510,12.82,8.51,6.84,7.03
20230201:1610,0.0,0.0,6.53,6.69
20230201:1710,0.0,0.0,6.22,6.55
20230201:1810,0.0,0.0,5.88,6.48
20230201:1910,0.0,0.0,5.48,6.34
20230201:2010,0.0,0.0,5.32,6.21
20230201:2110,0.0,0.0,5.27,6.0
20230201:2210,0.0,0.0,5.17,5.66
20230201:2310,0.0,0.0,5.09,5.38
20230202:0010,0.0,0.0,5.23,5.45
20230202:0110,0.0,0.0,5.3,5.31
20230202:0210,0.0,0.0,5.44,5.17
20230202:0310,0.0,0.0,5.64,5.24
20230202:0410,0.0,0.0,5.79,5.59
20230202:0510,0.0,0.0,5.87,5.79
20230202:0610,0.0,0.0,5.83,6.07
20230202:0710,0.0,0.0,5.78,5.79
20230202:0810,23.81,7.59,5.8,5.59
20230202:0910,86.63,14.23,5.91,5.86
20230202:1010,191.34,19.12,6.02,5.79
20230202:1110,109.83,21.81,6.14,5.59
20230202:1210,70.51,22.02,6.29,5.59
20230202:1310,43.04,19.72,6.54,5.31
20230202:1410,235.76,15.16,6.98,5.1
20230202:1510,98.36,8.78,7.12,4.62
20230202:1610,0.0,0.0,7.04,4.34
20230202:1710,0.0,0.0,7.04,4.34
20230202:1810,0.0,0.0,7.08,4.28
20230202:1910,0.0,0.0,7.02,4.41
20230202:2010,0.0,0.0,7.04,4.41
20230202:2110,0.0,0.0,7.05,4.48
20230202:2210,0.0,0.0,7.02,4.62
20230202:2310,0.0,0.0,7.15,4.55
20230203:0010,0.0,0.0,7.25,4.48
20230203:0110,0.0,0.0,7.34,4.62
20230203:0210,0.0,0.0,7.42,4.9
20230203:0310,0.0,0.0,7.43,5.24
20230203:0410,0.0,0.0,7.39,5.38
20230203:0510,0.0,0.0,7.28,5.31
20230203:0610,0.0,0.0,7.19,5.45
20230203:0710,0.0,0.0,7.25,5.86
20230203:0810,14.65,7.83,7.32,6.0
20230203:0910,21.98,14.49,7.52,6.21
20230203:1010,73.26,19.39,7.78,6.48
20230203:1110,55.86,22.09,8.12,6.62
20230203:1210,36.63,22.31,8.37,6.69
20230203:1310,25.64,20.01,8.6,6.69
20230203:1410,18.31,15.45,8.68,6.41
20230203:1510,9.16,9.05,8.8,6.21
20230203:1610,0.0,0.0,8.76,6.14
20230203:1710,0.0,0.0,8.62,6.07
20230203:1810,0.0,0.0,8.44,5.66
20230203:1910,0.0,0.0,7.96,5.45
20230203:2010,0.0,0.0,7.67,5.31
20230203:2110,0.0,0.0,7.4,5.1
20230203:2210,0.0,0.0,7.2,4.76
20230203:2310,0.0,0.0,6.96,4.28
20230204:0010,0.0,0.0,6.75,3.86
20230204:0110,0.0,0.0,6.44,3.59
20230204:0210,0.0,0.0,6.23,3.38
20230204:0310,0.0,0.0,5.94,2.97
20230204:0410,0.0,0.0,5.64,2.34
20230204:0510,0.0,0.0,5.38,1.93
20230204:0610,0.0,0.0,4.83,1.72
20230204:0710,0.0,0.0,4.6,1.72
20230204:0810,211.14,8.07,4.59,1.45
20230204:0910,364.18,14.74,5.58,1.31
20230204:1010,141.77,19.67,6.36,1.45
20230204:1110,183.14,22.39,7.15,1.1
20230204:1210,184.69,22.61,7.5,1.1
20230204:1310,210.94,20.3,7.87,1.24
20230204:1410,371.88,15.73,7.93,1.31
20230204:1510,263.67,9.32,7.69,1.1
20230204:1610,0.0,0.0,7.37,0.83
20230204:1710,0.0,0.0,6.4,0.62
20230204:1810,0.0,0.0,6.33,0.34
20230204:1910,0.0,0.0,4.31,1.31
20230204:2010,0.0,0.0,5.09,0.83
20230204:2110,0.0,0.0,5.12,0.76
20230204:2210,0.0,0.0,4.74,0.83
20230204:2310,0.0,0.0,4.36,1.1
20230205:0010,0.0,0.0,4.29,1.1
20230205:0110,0.0,0.0,4.52,1.24
20230205:0210,0.0,0.0,4.74,1.38
20230205:0310,0.0,0.0,4.75,1.72
20230205:0410,0.0,0.0,4.76,2.07
20230205:0510,0.0,0.0,4.78,2.62
20230205:0610,0.0,0.0,4.77,2.69
20230205:0710,0.0,0.0,4.79,2.83
20230205:0810,62.5,8.31,4.82,3.1
20230205:0910,113.64,15.01,5.23,4.21
20230205:1010,35.71,19.95,5.04,5.31
20230205:1110,52.2,22.68,5.06,5.17
20230205:1210,43.96,22.91,5.53,5.31
20230205:1310,69.6,20.6,5.82,5.52
20230205:1410,38.46,16.02,5.95,5.59
20230205:1510,55.77,9.6,5.85,5.31
20230205:1610,0.92,1.81,5.62,4.41
20230205:1710,0.0,0.0,5.31,3.93
20230205:1810,0.0,0.0,5.08,4.14
20230205:1910,0.0,0.0,4.8,4.55
20230205:2010,0.0,0.0,4.63,4.14
20230205:2110,0.0,0.0,4.19,3.72
20230205:2210,0.0,0.0,3.65,3.45
20230205:2310,0.0,0.0,3.26,3.17
20230206:0010,0.0,0.0,2.93,2.9
20230206:0110,0.0,0.0,2.15,2.34
20230206:0210,0.0,0.0,1.79,2.0
20230206:0310,0.0,0.0,1.26,1.93
20230206:0410,0.0,0.0,0.9,1.93
20230206:0510,0.0,0.0,0.51,1.66
20230206:0610,0.0,0.0,-0.04,1.66
20230206:0710,0.0,0.0,-0.59,1.59
20230206:0810,52.94,8.56,-0.64,1.17
20230206:0910,101.15,15.28,1.09,1.38
20230206:1010,232.47,20.24,1.88,1.52
20230206:1110,658.73,22.99,2.47,2.07
20230206:1210,511.23,23.22,3.07,2.48
20230206:1310,166.56,20.91,3.58,3.03
20230206:1410,71.43,16.31,4.0,3.17
20230206:1510,28.39,9.88,4.41,2.97
20230206:1610,0.92,2.08,4.33,2.55
20230206:1710,0.0,0.0,4.05,2.34
20230206:1810,0.0,0.0,3.53,2.21
20230206:1910,0.0,0.0,2.48,2.34
20230206:2010,0.0,0.0,1.78,2.48
20230206:2110,0.0,0.0,1.29,2.55
20230206:2210,0.0,0.0,1.19,2.34
20230206:2310,0.0,0.0,0.12,2.21
20230207:0010,0.0,0.0,-0.61,2.28
20230207:0110,0.0,0.0,-1.21,2.28
20230207:0210,0.0,0.0,-1.65,2.21
20230207:0310,0.0,0.0,-1.94,2.21
20230207:0410,0.0,0.0,-2.16,2.14
20230207:0510,0.0,0.0,-2.46,2.0
20230207:0610,0.0,0.0,-2.78,1.93
20230207:0710,0.0,0.0,-2.51,2.41
20230207:0810,357.63,8.82,-1.31,2.62
20230207:0910,618.6,15.55,-0.12,3.1
20230207:1010,734.41,20.53,0.99,3.17
20230207:1110,883.53,23.29,2.08,2.69
20230207:1210,808.24,23.53,3.09,2.28
20230207:1310,763.03,21.21,3.77,1.72
20230207:1410,636.57,16.61,4.15,1.52
20230207:1510,398.27,10.16,4.13,1.59
20230207:1610,4.58,2.34,3.34,1.59
20230207:1710,0.0,0.0,1.77,1.93
20230207:1810,0.0,0.0,0.03,1.86
20230207:1910,0.0,0.0,-1.01,2.21
20230207:2010,0.0,0.0,-1.82,2.34
20230207:2110,0.0,0.0,-2.07,2.48
20230207:2210,0.0,0.0,-2.1,2.55
20230207:2310,0.0,0.0,-2.1,2.55
20230208:0010,0.0,0.0,-2.17,2.41
