time,G(i) (Globalstrahlung),H_sun (Sonnenscheindauer in min),T2m (Temperatur),WS10m (Windgeschwindigkeit)
20220109:0610,0.0,0.0,4.07,6.97
20220109:0710,0.0,0.0,3.88,6.21
20220109:0810,34.24,3.84,3.42,5.66
20220109:0910,245.04,10.01,3.4,5.31
20220109:1010,263.01,14.42,3.71,4.62
20220109:1110,72.34,16.69,4.2,4.48
20220109:1210,86.64,16.61,4.54,4.34
20220109:1310,74.97,14.19,4.65,3.93
20220109:1410,21.06,9.67,4.84,3.59
20220109:1510,6.41,3.4,4.22,3.24
20220109:1610,0.0,0.0,3.18,2.9
20220109:1710,0.0,0.0,2.64,2.62
20220109:1810,0.0,0.0,2.22,2.48
20220109:1910,0.0,0.0,2.46,2.48
20220109:2010,0.0,0.0,2.27,2.21
20220109:2110,0.0,0.0,1.68,2.14
20220109:2210,0.0,0.0,1.45,2.0
20220109:2310,0.0,0.0,1.22,1.79
20220110:0010,0.0,0.0,0.94,1.59
20220110:0110,0.0,0.0,0.28,1.31
20220110:0210,0.0,0.0,0.32,1.1
20220110:0310,0.0,0.0,-0.04,1.1
20220110:0410,0.0,0.0,0.0,1.03
20220110:0510,0.0,0.0,-0.3,1.1
20220110:0610,0.0,0.0,-1.05,1.38
20220110:0710,0.0,0.0,-2.25,0.69
20220110:0810,175.88,3.92,-1.87,0.69
20220110:0910,477.61,10.11,-0.95,0.76
20220110:1010,642.6,14.53,0.36,0.69
20220110:1110,722.99,16.83,1.47,0.76
20220110:1210,702.75,16.76,2.52,0.69
20220110:1310,616.86,14.36,3.38,0.62
20220110:1410,242.92,9.84,3.76,0.62
20220110:1510,170.51,3.57,3.86,0.62
20220110:1610,0.0,0.0,3.18,1.17
20220110:1710,0.0,0.0,2.39,1.52
20220110:1810,0.0,0.0,2.12,1.59
20220110:1910,0.0,0.0,0.61,2.0
20220110:2010,0.0,0.0,-0.09,2.07
20220110:2110,0.0,0.0,-0.77,1.79
20220110:2210,0.0,0.0,-1.58,1.72
20220110:2310,0.0,0.0,-2.44,1.79
20220111:0010,0.0,0.0,-2.84,1.86
20220111:0110,0.0,0.0,-3.06,1.93
20220111:0210,0.0,0.0,-3.0,2.0
20220111:0310,0.0,0.0,-2.82,2.14
20220111:0410,0.0,0.0,-2.77,2.14
20220111:0510,0.0,0.0,-2.8,2.0
20220111:0610,0.0,0.0,-2.91,2.0
20220111:0710,0.0,0.0,-3.41,1.93
20220111:0810,69.73,4.01,-3.14,2.14
20220111:0910,133.08,10.22,-1.62,2.0
20220111:1010,198.9,14.66,0.46,2.0
20220111:1110,676.9,16.97,2.35,2.07
20220111:1210,733.21,16.92,3.64,2.0
20220111:1310,640.48,14.53,4.17,1.66
20220111:1410,426.09,10.01,4.2,1.31
20220111:1510,167.14,3.74,3.45,1.72
20220111:1610,0.0,0.0,1.66,2.28
20220111:1710,0.0,0.0,0.28,2.14
20220111:1810,0.0,0.0,-0.66,1.93
20220111:1910,0.0,0.0,-1.15,2.0
20220111:2010,0.0,0.0,-1.7,1.93
20220111:2110,0.0,0.0,-1.78,1.86
20220111:2210,0.0,0.0,-2.1,2.0
20220111:2310,0.0,0.0,-1.95,2.0
20220112:0010,0.0,0.0,-1.85,2.0
20220112:0110,0.0,0.0,-1.74,1.93
20220112:0210,0.0,0.0,-1.74,1.59
20220112:0310,0.0,0.0,-1.21,1.31
20220112:0410,0.0,0.0,-0.73,1.31
20220112:0510,0.0,0.0,-0.37,1.03
20220112:0610,0.0,0.0,0.23,0.62
20220112:0710,0.0,0.0,-0.01,0.83
20220112:0810,99.15,4.1,0.5,0.9
20220112:0910,121.23,10.33,1.18,0.48
20220112:1010,65.93,14.79,1.94,0.48
20220112:1110,61.36,17.12,2.68,0.76
20220112:1210,76.01,17.09,2.95,0.97
20220112:1310,98.32,14.7,3.3,1.1
20220112:1410,32.97,10.19,3.35,1.17
20220112:1510,10.99,3.93,3.06,1.1
20220112:1610,0.0,0.0,2.36,1.31
20220112:1710,0.0,0.0,1.96,1.1
20220112:1810,0.0,0.0,1.58,1.38
20220112:1910,0.0,0.0,1.31,1.03
20220112:2010,0.0,0.0,1.46,1.1
20220112:2110,0.0,0.0,1.42,0.83
20220112:2210,0.0,0.0,1.43,0.69
